Category,Prop._SNPs,Prop._h2,Enrichment,Enrichment_p,Coefficient,Cluster_SLDSC,Cluster_num
SuperEnhancer_Hnisz.bedL2_0,0.17978326819157694,0.2477531501927353,1.349257304388459,0.33976771411657686,-5.4506035735385045e-08,sldsc_v159,159
SuperEnhancer_Hnisz.extend.500.bedL2_0,0.18322047750324758,0.25528444557987345,1.3624425702543237,0.30555405929134954,3.8491964141072834e-08,sldsc_v159,159
TFBS_ENCODE.bedL2_0,0.1387828319479167,0.28391827145374066,2.0689601661659527,0.4133641238109947,4.7994324569597434e-08,sldsc_v159,159
TFBS_ENCODE.extend.500.bedL2_0,0.3542096710646849,0.4357840707766256,1.2525943834006061,0.5768020751699839,-3.123154852741123e-08,sldsc_v159,159
TSS_Hoffman.bedL2_0,0.020324686667066952,0.09688333276136131,5.052631331142155,0.4645901379138939,9.594656282877457e-08,sldsc_v159,159
TSS_Hoffman.extend.500.bedL2_0,0.039162366630155876,0.11601423979966712,3.532519291276056,0.3541123556409477,4.193729999081078e-08,sldsc_v159,159
Transcribed_Hoffman.bedL2_0,0.3593625556155595,0.38430310232854104,1.054481261511848,0.5357684455687225,1.457296691861209e-08,sldsc_v159,159
Transcribed_Hoffman.extend.500.bedL2_0,0.7680621141831406,0.7863907789621394,1.0252296961413652,0.47622545143440626,1.4118192782147194e-08,sldsc_v159,159
UTR_3_UCSC.bedL2_0,0.012507297801211055,0.062365162814716026,5.197188732230043,0.4090814206208943,2.323755537361458e-07,sldsc_v159,159
UTR_3_UCSC.extend.500.bedL2_0,0.029809597189937462,0.08262428557223069,2.6296944148702703,0.39011767573372286,-2.4275739243446674e-08,sldsc_v159,159
UTR_5_UCSC.bedL2_0,0.0061434685560018,0.023341360679655324,3.3809848924441765,0.5377295636968884,-2.99501594036974e-08,sldsc_v159,159
UTR_5_UCSC.extend.500.bedL2_0,0.03022371259984493,0.08747648058205927,3.281894624780163,0.38327611038861326,9.304806737075654e-08,sldsc_v159,159
WeakEnhancer_Hoffman.bedL2_0,0.022830254868821568,0.033622773580005684,1.6073601612917103,0.44005111306584754,-9.22491351972246e-08,sldsc_v159,159
WeakEnhancer_Hoffman.extend.500.bedL2_0,0.09579713534942313,0.19277420322819758,2.0436108871203085,0.4501855640501948,7.28756717741479e-08,sldsc_v159,159
baseL2_0,1.0,0.9999999999999999,0.9999999999999999,,-2.1797323576245266e-08,sldsc_v159,159
CTCF_Hoffman.bedL2_0,0.025340469692189074,-0.010172891654009697,-0.5461130625273064,0.4986364422941008,-1.504687814380358e-07,sldsc_v160,160
CTCF_Hoffman.extend.500.bedL2_0,0.07524070256931667,0.08300351943658119,1.054509262446426,0.48140413564651624,4.093002970828788e-08,sldsc_v160,160
Coding_UCSC.bedL2_0,0.015989750474149925,0.08380827460216779,5.1364434570058215,0.4676231502539394,7.050245632324612e-08,sldsc_v160,160
Coding_UCSC.extend.500.bedL2_0,0.07047274473805283,0.15322334218644157,2.2033742444275086,0.45717615378789067,-5.119899522921788e-08,sldsc_v160,160
Conserved_LindbladToh.bedL2_0,0.02568411716520341,0.31063587576621604,12.085240189302102,0.08145922778460013,5.94293394212714e-07,sldsc_v160,160
Conserved_LindbladToh.extend.500.bedL2_0,0.3308069573919402,0.7127412134724831,2.1524691614621685,0.04874524077004941,3.9631130250589444e-08,sldsc_v160,160
DGF_ENCODE.bedL2_0,0.14043687146115932,0.3029373920867885,2.232356571420531,0.3987815083477593,8.049416476651318e-08,sldsc_v160,160
DGF_ENCODE.extend.500.bedL2_0,0.5482775388825766,0.6353288010464423,1.1629057980823438,0.34705558701029265,-3.555998537489596e-08,sldsc_v160,160
DHS_Trynka.bedL2_0,0.1687533989060883,0.3120487312049423,1.873571487071983,0.5259398566822383,-4.8253909102016096e-08,sldsc_v160,160
DHS_Trynka.extend.500.bedL2_0,0.5021191491336977,0.7399237141824972,1.4835733234698003,0.31692853009396976,4.351549369351189e-08,sldsc_v160,160
DHS_peaks_Trynka.bedL2_0,0.11264537054440811,0.1766255696741725,1.5336322966967153,0.6508962768036817,-1.4929163524033677e-07,sldsc_v160,160
Enhancer_Andersson.bedL2_0,0.004670442694538236,-0.006880618647008538,-1.417017738812212,0.4107789523171453,-2.8222192938273857e-07,sldsc_v160,160
Enhancer_Andersson.extend.500.bedL2_0,0.020435145070411834,0.018677253595017432,0.8338310980960194,0.46515606765433615,-1.5678134820396765e-08,sldsc_v160,160
Enhancer_Hoffman.bedL2_0,0.04493157127923169,0.04393646871786791,1.1059987151623198,0.5244862283227621,-9.586847814599568e-08,sldsc_v160,160
